s T
0 0.000
0.013 0.850
0.164 10.850
0.309 20.850
0.448 30.850
0.584 40.850
0.715 50.850
0.842 60.850
0.965 70.850
1.086 80.850
1.203 90.850
1.317 100.850
1.428 110.850
1.537 120.850
1.644 130.850
1.748 140.850
1.850 150.850
1.951 160.850
2.050 170.850
2.147 180.850
2.244 190.850
2.339 200.850
2.432 210.850
2.526 220.850
2.618 230.850
2.710 240.850
2.801 250.850
2.893 260.850
2.984 270.850
3.076 280.850
3.169 290.850
3.263 300.850
3.359 310.850
3.458 320.850
3.561 330.850
3.670 340.850
3.789 350.850
3.930 360.850
3.930 360.850
3.974 363.469
4.022 366.088
4.078 368.708
4.152 371.327
4.197 372.446
4.210 372.696
4.224 372.946
4.258 373.446
4.296 373.846
4.308 373.936
4.407 373.946
4.531 373.936
4.545 373.846
4.598 373.446
4.645 372.946
4.664 372.696
4.682 372.446
4.745 371.327
4.849 368.708
4.924 366.088
4.985 363.469
5.038 360.850
5.038 360.850
5.200 350.850
5.326 340.850
5.434 330.850
5.530 320.850
5.617 310.850
5.699 300.850
5.777 290.850
5.852 280.850
5.924 270.850
5.996 260.850
6.066 250.850
6.136 240.850
6.207 230.850
6.278 220.850
6.350 210.850
6.424 200.850
6.500 190.850
6.577 180.850
6.658 170.850
6.742 160.850
6.830 150.850
6.921 140.850
7.018 130.850
7.120 120.850
7.229 110.850
7.344 100.850
7.467 90.850
7.600 80.850
7.742 70.850
7.895 60.850
8.060 50.850
8.240 40.850
8.435 30.850
8.647 20.850
8.879 10.850
9.133 0.850
