s T
0.027 1.850
0.103 6.850
0.177 11.850
0.250 16.850
0.321 21.850
0.392 26.850
0.461 31.850
0.529 36.850
0.596 41.850
0.662 46.850
0.726 51.850
0.790 56.850
0.853 61.850
0.915 66.850
0.976 71.850
1.037 76.850
1.096 81.850
1.155 86.850
1.213 91.850
1.270 96.850
1.327 101.850
1.383 106.850
1.438 111.850
1.493 116.850
1.547 121.850
1.600 126.850
1.653 131.850
1.705 136.850
1.757 141.850
1.809 146.850
1.860 151.850
1.910 156.850
1.960 161.850
2.010 166.850
2.059 171.850
2.108 176.850
2.156 181.850
2.204 186.850
2.252 191.850
2.300 196.850
2.347 201.850
2.394 206.850
2.441 211.850
2.487 216.850
2.534 221.850
2.580 226.850
2.626 231.850
2.672 236.850
2.718 241.850
2.764 246.850
2.810 251.850
2.855 256.850
2.901 261.850
2.947 266.850
2.993 271.850
3.038 276.850
3.085 281.850
3.131 286.850
3.177 291.850
3.224 296.850
3.272 301.850
3.320 306.850
3.368 311.850
3.417 316.850
3.467 321.850
3.518 326.850
3.570 331.850
3.624 336.850
3.680 341.850
3.738 346.850
3.800 351.850
3.868 356.850
3.944 361.850
4.034 366.850
4.160 371.850
4.178 372.350
4.198 372.850
4.221 373.350
4.233 373.600
4.245 373.850
4.247 373.875
4.248 373.900
4.249 373.925
4.406 373.946
