s T
9.107 1.850
8.979 6.850
8.856 11.850
8.738 16.850
8.626 21.850
8.518 26.850
8.415 31.850
8.316 36.850
8.222 41.850
8.131 46.850
8.044 51.850
7.960 56.850
7.879 61.850
7.802 66.850
7.727 71.850
7.656 76.850
7.586 81.850
7.520 86.850
7.455 91.850
7.393 96.850
7.333 101.850
7.274 106.850
7.218 111.850
7.163 116.850
7.110 121.850
7.059 126.850
7.009 131.850
6.960 136.850
6.912 141.850
6.866 146.850
6.821 151.850
6.777 156.850
6.734 161.850
6.692 166.850
6.650 171.850
6.610 176.850
6.570 181.850
6.531 186.850
6.492 191.850
6.454 196.850
6.417 201.850
6.380 206.850
6.343 211.850
6.307 216.850
6.271 221.850
6.236 226.850
6.200 231.850
6.165 236.850
6.130 241.850
6.095 246.850
6.060 251.850
6.025 256.850
5.989 261.850
5.954 266.850
5.918 271.850
5.882 276.850
5.845 281.850
5.808 286.850
5.770 291.850
5.732 296.850
5.692 301.850
5.652 306.850
5.610 311.850
5.567 316.850
5.522 321.850
5.475 326.850
5.425 331.850
5.373 336.850
5.316 341.850
5.255 346.850
5.188 351.850
5.112 356.850
5.023 361.850
4.911 366.850
4.740 371.850
4.715 372.350
4.688 372.850
4.658 373.350
4.642 373.600
4.626 373.850
4.624 373.875
4.622 373.900
4.621 373.925
4.406 373.946
