s t
0 195.495
0.010844 196
0.514005 220.495
0.987488 245.495
1.4267 270.495
1.83807 295.495
2.22975 320.495
2.61299 345.495
3.00719 370.495
3.12455 377.476
3.24879 384.457
3.38511 391.438
3.54859 398.419
3.75558 403.9
3.77284 404.15
3.79269 404.4
3.84654 404.9
4.02575 405.4
4.22223 404.9
4.25938 404.4
4.27621 404.15
4.29203 403.9
4.5145 398.419
4.68072 391.438
4.80602 384.457
4.91115 377.476
5.00419 370.495
5.00419 370.495
5.28895 345.495
5.54957 320.495
5.82108 295.495
6.12827 270.495
6.49821 245.495
6.96809 220.495
7.57923 196
